filename,size_bytes,sha256,frontmatter_slug,suggested_slug,effective_slug,order,nav_label,h1,status,qa_score,already_published_by_slug,parser_flags
2026-09-10-are-personal-loan-proceeds-taxable-canceled-debt.md,9103,325d949dd4bba0160d7b236e9104c1b76e7967e78346e3693343cfaa78242d88,are-personal-loan-proceeds-taxable,,are-personal-loan-proceeds-taxable,33,Loan Tax Basics,Are Personal Loan Proceeds Taxable? What Changes if Debt Is Canceled?,,,no,
2026-09-10-bank-vs-credit-union-vs-online-lender-personal-loan.md,12935,aa6940160819af8851345821a6d33beebf58a61ecc332221626574dfbda0932e,bank-vs-credit-union-vs-online-lender-personal-loan,,bank-vs-credit-union-vs-online-lender-personal-loan,31,Bank vs. CU vs. Online,Bank vs. Credit Union vs. Online Lender: Where Should You Look for a Personal Loan?,,,no,
2026-09-10-can-you-cancel-a-personal-loan-after-signing.md,12606,7b4b10a09f225c301e9390d03043a8ee93ce78a69267b27e23090a86a350bfe5,can-you-cancel-a-personal-loan-after-signing,,can-you-cancel-a-personal-loan-after-signing,44,Cancel After Signing,Can You Cancel a Personal Loan After Signing?,,,no,
2026-09-10-can-you-have-more-than-one-personal-loan.md,10201,6a626a42ac61ac98b3b8f8c390721ec99bb68e086d5d6b9acc0ed914155ed93b,can-you-have-more-than-one-personal-loan,,can-you-have-more-than-one-personal-loan,38,Second Personal Loan,Can You Have More Than One Personal Loan? Check the Payment Problem Before You Add Another,,,no,
2026-09-10-can-you-pay-off-a-personal-loan-early.md,11064,580b0741a7782c82acad8493c6881899e9f493a2077cddd6c0cd6b87d0b725a6,,,,,,Can You Pay Off a Personal Loan Early?,Ready to Publish,98/100,no,H3-H6;blockquote;inline_code
2026-09-10-can-you-refinance-a-personal-loan.md,13249,5bc18b4ef7e6910ea0bd0a12230c9fc2de49d427e971d2a841762a82c084b84e,can-you-refinance-a-personal-loan,,can-you-refinance-a-personal-loan,22,Refinance a Personal Loan,Can You Refinance a Personal Loan?,,,no,
2026-09-10-cosigner-vs-co-borrower-on-a-personal-loan.md,12639,b5c6c500db45accc91879050f97227414ef6924542e25c433c8e645093b5710c,,,,,,Cosigner vs. Co-Borrower on a Personal Loan,Ready to Publish,97/100,no,H3-H6;table;blockquote;inline_code
2026-09-10-debt-consolidation-vs-debt-settlement.md,13503,9a231a2e848e67cd4168ab99810e895e63ed5b289baac0c6bc52ccfc01cad3cd,debt-consolidation-vs-debt-settlement,,debt-consolidation-vs-debt-settlement,40,Consolidation vs. Settlement,"Debt Consolidation vs. Debt Settlement: Different Tools, Different Risks",,,no,
2026-09-10-debt-to-income-ratio-personal-loan.md,13022,710ff7362ada9e3e819cd8e23510e15efd4d94ebb79b704fa7b14506146bcc33,,debt-to-income-ratio-personal-loan,debt-to-income-ratio-personal-loan,,,CashPath Help — Ready to Publish: How Debt-to-Income Ratio Can Affect a Personal Loan Decision,Ready to Publish,,no,H3-H6;blockquote;inline_code
2026-09-10-documents-needed-personal-loan-application.md,14992,7a8c486b23d0ebb43a1966057208412ebd821b9d21d86cdaf0adaf446117fb24,,documents-needed-personal-loan-application,documents-needed-personal-loan-application,,,CashPath Help — Ready to Publish: What Documents Might You Need for a Personal Loan Application?,Ready to Publish,,no,H3-H6;blockquote;inline_code
2026-09-10-does-a-personal-loan-affect-credit-utilization.md,11647,169f5cc02902f6fa2bbdbc1d7cb9732d81df84fc712110081e021cc605fe396b,does-a-personal-loan-affect-credit-utilization,,does-a-personal-loan-affect-credit-utilization,43,Credit Utilization,Does a Personal Loan Affect Credit Utilization?,,,no,
2026-09-10-does-applying-for-a-personal-loan-hurt-your-credit.md,12655,78eb8e628da9d7b86b52a9e3e75c017d5a7a53ac11569301d2ffb39236a2efc5,,does-applying-for-a-personal-loan-hurt-your-credit,does-applying-for-a-personal-loan-hurt-your-credit,,,CashPath Help Ready to Publish — Does Applying for a Personal Loan Hurt Your Credit?,QA PASS — Ready to Publish,,no,H3-H6;blockquote;inline_code
2026-09-10-first-personal-loan-with-little-or-no-credit-history.md,10398,066ad81fc98a773b44043e5a8f54b0e7ae22b95254bbd80b8a026ed854715102,first-personal-loan-with-little-or-no-credit-history,,first-personal-loan-with-little-or-no-credit-history,51,First Personal Loan,First Personal Loan With Little or No Credit History: What to Check,,,no,
2026-09-10-how-long-can-a-personal-loan-take-to-fund.md,12728,d5b7883acbe4299742ffdb9f6d2be783db77c65b946d84e610e815f5f4f71a27,,how-long-can-a-personal-loan-take-to-fund,how-long-can-a-personal-loan-take-to-fund,,,CashPath Help Ready to Publish — How Long Can a Personal Loan Take to Fund?,QA PASS — Ready to Publish,,no,H3-H6;blockquote;inline_code
2026-09-10-how-much-personal-loan-payment-can-your-budget-handle.md,12064,35f91eadd16322f9bc323b2ab08f9613f0224da6f56b1459e220f1a1fa07f5b9,,,,,,How Much Personal Loan Payment Can Your Budget Handle?,Ready to Publish,98/100,no,H3-H6;table;blockquote;inline_code
2026-09-10-how-personal-loan-payments-work.md,13930,4d8b1375aef16e08685aea29752d59556f13f99dc805adfd9aebff6ff47d10dd,how-personal-loan-payments-work,,how-personal-loan-payments-work,24,Loan Payments,"How Personal Loan Payments Work: Principal, Interest & Amortization",,,no,H3-H6;table;blockquote
2026-09-10-how-to-spot-a-personal-loan-scam.md,13820,bbd5e47a6ad98c795ab8b477cac595f8e3652499c9a928eab7ba0a7b2d86287b,,how-to-spot-a-personal-loan-scam,how-to-spot-a-personal-loan-scam,,,CashPath Article Ready to Publish — How to Spot a Personal Loan Scam Before You Pay or Share Data,QA PASS — Ready to Publish,,no,H3-H6;blockquote;inline_code
2026-09-10-how-to-stop-automatic-loan-payments-without-canceling-debt.md,11302,638d51421d3a0e38760fdc6ca1aea431310565e613333acfbde0e4b86564c824,how-to-stop-automatic-loan-payments-without-canceling-debt,,how-to-stop-automatic-loan-payments-without-canceling-debt,46,Stop Automatic Payments,How to Stop Automatic Loan Payments Without Canceling the Debt,,,no,
2026-09-10-installment-loan-vs-payday-loan.md,13025,0877a4cd3aec176026fae49cf8dec7f5f0076e4bd53c1a69f7066ca545071592,installment-loan-vs-payday-loan,,installment-loan-vs-payday-loan,26,Installment vs. Payday,Installment Loan vs. Payday Loan: Key Differences,,,no,H3-H6;table;blockquote
2026-09-10-loan-marketplace-vs-lender-vs-referral-service.md,14086,c09982154021cb8f88124f72189a52f88ffe3805d1938b458ece51d900006795,loan-marketplace-vs-lender-vs-referral-service,,loan-marketplace-vs-lender-vs-referral-service,29,Provider Roles,Loan Marketplace vs. Direct Lender vs. Referral Service,,,no,H3-H6;table;blockquote
2026-09-10-personal-loan-agreement-checklist.md,16564,c6d19cd376f0fbd091155a641eeac604f78aee1b74acbeba1fb30dfd024b1952,personal-loan-agreement-checklist,,personal-loan-agreement-checklist,23,Agreement Checklist,Personal Loan Agreement Checklist: What to Review Before Signing,,,no,H3-H6;table;blockquote
2026-09-10-personal-loan-application-denied-what-to-do.md,15303,1235ddd5981d0fa7e9054ad55a42e10af0c9851a92b8b6a7dc6467491d07519b,,personal-loan-application-denied-what-to-do,personal-loan-application-denied-what-to-do,,,CashPath Article — Ready to Publish: What to Do If a Personal Loan Application Is Denied,Ready to Publish,,no,H3-H6;table;blockquote;inline_code
2026-09-10-personal-loan-for-auto-repairs.md,9960,5bf289f11a7d454f5ffc11d0dff75a05409e638440b8e95ab71eb1da276d2e94,personal-loan-for-auto-repairs,,personal-loan-for-auto-repairs,35,Auto Repairs,"Personal Loan for Auto Repairs: Repair, Replace, or Finance?",,,no,
2026-09-10-personal-loan-for-emergency-expenses.md,14678,f99fb27a04b4870ac465342374a075fc44d13f5b9094dbb90e0628b4f2f1c079,personal-loan-for-emergency-expenses,,personal-loan-for-emergency-expenses,27,Emergency Expenses,Personal Loan for Emergency Expenses: Questions to Ask Before Borrowing,,,no,H3-H6;blockquote
2026-09-10-personal-loan-for-home-improvement.md,13515,c12dd3a14415134d702813b1642e3356915e6a1b207f3be82237ba61c092638c,personal-loan-for-home-improvement,,personal-loan-for-home-improvement,28,Home Improvement,Personal Loan vs. Home Equity for Home Improvements,,,no,H3-H6;table;blockquote
2026-09-10-personal-loan-for-medical-bills.md,12597,96d88dbeab3a7d39b5afe87df0c0fc945950a2b68dadd2c52a3a2e70ee5cf0df,personal-loan-for-medical-bills,,personal-loan-for-medical-bills,32,Medical Bills,Personal Loan for Medical Bills: What to Check Before You Borrow,,,no,
